TITLE,DATE
"이종현, 주가조작 이어 ""여자 넘겨요"" 논란…씨엔블루 팬들, 퇴출 성명서 발표",2019-03-15 12:47
"
			씨엔블루 이종현 ""여성 비하·성 관련 부적절 대화 죄송…반성하고 속죄할 것""
		",2019.03.15. 오후 12:28
"
			'로맨스는 별책부록' 정유진 ""모델 시절 경력단절 경험有, 시간 소중함 느껴""
		",2019.03.15. 오전 10:10
"SBS 8 뉴스, ""이종현과 최종훈, 정준영의 단체 대화방 멤버였다"" 보도",2019-03-14 21:54
"
			'로맨스는 별책부록' 정유진 ""애교 많은 이종석, 입대 앞두고도 흔들림 없어""
		",2019.03.14. 오전 11:51
"
			'로맨스는 별책부록' 정유진 ""이종석, 이나영 성덕? 저도 빅 팬""
		",2019.03.14. 오전 11:51
"박한별 남편, 최종훈 음주운전 무마 의혹?…대화내용 봤더니",2019-03-14 9:24
"승리·정준영과 선 긋던 최종훈, 알고보니 경찰에 음주운전 무마 청탁",2019-03-13 17:58
"
			씨엔블루 이종현, 정준영 카카오톡 대화방 논란에 과거 발언 화제 ""정준영과 술친구""
		",2019.03.12. 오후 9:54
"풍국주정 2대주주 박순애 씨, 연예인 주식 부자 5위로 등극",2019-02-24 18:15
"
			연예 마켓+ㅣ 아이돌 日 인기 한물 갔다고? 제2의 트와이스를 찾아라
		",2019.02.24. 오전 8:42
"
			엔플라잉, '옥탑방' 역주행→음악방송 강제소환…활동 재개
		",2019.03.05. 오후 6:09
"
			설현 '나의나라' 캐스팅 확정, 양세종·우도환과 호흡 어떨까
		",2019.02.20. 오전 11:46
"
			AOA 지민, 건강이상설 직접 해명 ""저, 건강합니다""...환한 웃음
		",2019.02.13. 오후 8:27
"
			AOA 지민 충격근황 … 너무 말랐나? 소속사 ""매우 건강한 상태""
		",2019.02.13. 오전 10:58
"
			SF9, 20일 컴백 확정…새앨범 ‘NARCISSUS’ 티저사이트 오픈
		",2019.02.11. 오후 4:09
"
			입덕도우미｜'제2의 AOA를 꿈꾸는' 체리블렛, 앞으로 잘 부탁할게~
		",2019.02.10. 오전 8:03
