Date,Rank,Title,Artist,Score,entertain
2018-12-01,97,Answer : Love Myself,방탄소년단,1,하이브
2018-12-02,31,IDOL,방탄소년단,7,하이브
2018-12-02,51,FAKE LOVE,방탄소년단,5,하이브
2018-12-02,60,봄날,방탄소년단,5,하이브
2018-12-02,63,I'm Fine,방탄소년단,4,하이브
2018-12-02,80,DNA,방탄소년단,3,하이브
2018-12-02,86,Euphoria,방탄소년단,2,하이브
2018-12-02,91,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,1,하이브
2018-12-02,99,Answer : Love Myself,방탄소년단,1,하이브
2018-12-03,30,IDOL,방탄소년단,8,하이브
2018-12-03,50,FAKE LOVE,방탄소년단,6,하이브
2018-12-03,58,봄날,방탄소년단,5,하이브
2018-12-03,62,I'm Fine,방탄소년단,4,하이브
2018-12-03,74,DNA,방탄소년단,3,하이브
2018-12-03,84,Euphoria,방탄소년단,2,하이브
2018-12-03,86,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-12-03,95,Answer : Love Myself,방탄소년단,1,하이브
2018-12-04,30,IDOL,방탄소년단,8,하이브
2018-12-04,49,FAKE LOVE,방탄소년단,6,하이브
2018-12-04,57,봄날,방탄소년단,5,하이브
2018-12-04,62,I'm Fine,방탄소년단,4,하이브
2018-12-04,72,DNA,방탄소년단,3,하이브
2018-12-04,82,Euphoria,방탄소년단,2,하이브
2018-12-04,86,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-12-04,94,Answer : Love Myself,방탄소년단,1,하이브
2018-12-05,32,IDOL,방탄소년단,7,하이브
2018-12-05,50,FAKE LOVE,방탄소년단,6,하이브
2018-12-05,59,봄날,방탄소년단,5,하이브
2018-12-05,64,I'm Fine,방탄소년단,4,하이브
2018-12-05,73,DNA,방탄소년단,3,하이브
2018-12-05,81,Euphoria,방탄소년단,2,하이브
2018-12-05,83,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-12-05,95,Answer : Love Myself,방탄소년단,1,하이브
2018-12-06,30,IDOL,방탄소년단,8,하이브
2018-12-06,48,FAKE LOVE,방탄소년단,6,하이브
2018-12-06,57,봄날,방탄소년단,5,하이브
2018-12-06,63,I'm Fine,방탄소년단,4,하이브
2018-12-06,73,DNA,방탄소년단,3,하이브
2018-12-06,80,Euphoria,방탄소년단,3,하이브
2018-12-06,82,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-12-06,92,Answer : Love Myself,방탄소년단,1,하이브
2018-12-07,31,IDOL,방탄소년단,7,하이브
2018-12-07,48,FAKE LOVE,방탄소년단,6,하이브
2018-12-07,56,봄날,방탄소년단,5,하이브
2018-12-07,63,I'm Fine,방탄소년단,4,하이브
2018-12-07,71,DNA,방탄소년단,3,하이브
2018-12-07,86,Euphoria,방탄소년단,2,하이브
2018-12-07,87,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-12-07,95,Answer : Love Myself,방탄소년단,1,하이브
2018-12-08,32,IDOL,방탄소년단,7,하이브
2018-12-08,47,FAKE LOVE,방탄소년단,6,하이브
2018-12-08,54,봄날,방탄소년단,5,하이브
2018-12-08,63,I'm Fine,방탄소년단,4,하이브
2018-12-08,72,DNA,방탄소년단,3,하이브
2018-12-08,84,Euphoria,방탄소년단,2,하이브
2018-12-08,87,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-12-08,92,Answer : Love Myself,방탄소년단,1,하이브
2018-12-09,33,IDOL,방탄소년단,7,하이브
