Date,Rank,Title,Artist
2022-06-04,43,이제 나만 믿어요,임영웅
2022-06-04,44,Beatbox,NCT DREAM
2022-06-04,45,Seoul,볼빨간사춘기
2022-06-04,46,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)"
2022-06-04,47,"스물다섯, 스물하나",자우림
2022-06-04,48,바라만 본다,MSG워너비(M.O.M)
2022-06-04,49,호랑수월가,탑현
2022-06-04,50,라일락,아이유
2022-06-04,51,Counting Stars (Feat. Beenzino),BE'O (비오)
2022-06-04,52,눈이 오잖아(Feat.헤이즈),이무진
2022-06-04,53,Permission to Dance,방탄소년단
2022-06-04,54,밤하늘의 별을(2020),경서
2022-06-04,55,미친 것처럼,V.O.S
2022-06-04,56,Savage,aespa
2022-06-04,57,Celeb,싸이 (PSY)
2022-06-04,58,롤린 (Rollin'),브레이브걸스
2022-06-04,59,고백,멜로망스
2022-06-04,60,Celebrity,아이유
2022-06-04,61,Off My Face,Justin Bieber
2022-06-04,62,Darl+ing,세븐틴 (SEVENTEEN)
2022-06-04,63,Bad Habits,Ed Sheeran
2022-06-04,64,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
2022-06-04,65,문득,BE'O (비오)
2022-06-04,66,Step Back,GOT the beat
2022-06-04,67,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2022-06-04,68,Blueming,아이유
2022-06-04,69,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
2022-06-04,70,헤픈 우연,헤이즈 (Heize)
2022-06-04,71,Dun Dun Dance,오마이걸 (OH MY GIRL)
2022-06-04,72,존재만으로,원슈타인
2022-06-04,73,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2022-06-04,74,무지개,임영웅
2022-06-04,75,사랑인걸,한동근
2022-06-04,76,팡파레,다비치
2022-06-04,77,봄날,방탄소년단
2022-06-04,78,abcdefu,GAYLE
2022-06-04,79,My Universe,"Coldplay, 방탄소년단"
2022-06-04,80,아버지,임영웅
2022-06-04,81,초대,멜로망스
2022-06-04,82,With you,"지민, 하성운"
2022-06-04,83,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
2022-06-04,84,버퍼링 (Glitch Mode),NCT DREAM
2022-06-04,85,Dreams Come True,aespa
2022-06-04,86,손이 참 곱던 그대,임영웅
2022-06-04,87,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In)
2022-06-04,88,A bientot,임영웅
2022-06-04,89,서랍,10CM
2022-06-04,90,사랑해 진짜,임영웅
2022-06-04,91,낙하 (with 아이유),AKMU (악뮤)
2022-06-04,92,연애편지,임영웅
2022-06-04,93,나는 트로트가 싫어요,임창정
2022-06-04,94,인생찬가,임영웅
2022-06-04,95,어제처럼,폴킴
2022-06-04,96,감동이야 (feat. 성시경),싸이 (PSY)
2022-06-04,97,Love story,볼빨간사춘기
2022-06-04,98,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
2022-06-04,99,DON QUIXOTE,세븐틴 (SEVENTEEN)
2022-06-04,100,Real Love,오마이걸 (OH MY GIRL)
2022-06-05,1,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
2022-06-05,2,TOMBOY,(여자)아이들
2022-06-05,3,LOVE DIVE,IVE (아이브)
2022-06-05,4,사랑인가 봐,멜로망스
2022-06-05,5,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2022-06-05,6,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2022-06-05,7,나의 X에게,경서
2022-06-05,8,LOVE me,BE'O (비오)
2022-06-05,9,취중고백,김민석 (멜로망스)
2022-06-05,10,FEARLESS,LE SSERAFIM (르세라핌)
2022-06-05,11,Feel My Rhythm,Red Velvet (레드벨벳)
2022-06-05,12,사랑은 늘 도망가,임영웅
2022-06-05,13,GANADARA (Feat. 아이유),박재범
2022-06-05,14,신호등,이무진
2022-06-05,15,ZOOM,제시 (Jessi)
2022-06-05,16,다정히 내 이름을 부르면,"전건호, 경서예지"
2022-06-05,17,INVU,태연 (TAEYEON)
2022-06-05,18,ELEVEN,IVE (아이브)
2022-06-05,19,우리들의 블루스,임영웅
2022-06-05,20,듣고 싶을까,MSG워너비(M.O.M)
2022-06-05,21,MY BAG,(여자)아이들
2022-06-05,22,STAY,"Justin Bieber, The Kid LAROI"
2022-06-05,23,내가 아니라도,주호
2022-06-05,24,That's Hilarious,Charlie Puth
2022-06-05,25,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
2022-06-05,26,너를 생각해,주시크 (Joosiq)
2022-06-05,27,다시 만날 수 있을까,임영웅
2022-06-05,28,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
2022-06-05,29,Next Level,aespa
2022-06-05,30,Weekend,태연 (TAEYEON)
2022-06-05,31,언제나 사랑해,케이시 (Kassy)
2022-06-05,32,HOT,세븐틴 (SEVENTEEN)
2022-06-05,33,Dynamite,방탄소년단
2022-06-05,34,아무래도 난,주시크 (Joosiq)
2022-06-05,35,SMILEY (Feat. BIBI),YENA (최예나)
2022-06-05,36,드라마,아이유
2022-06-05,37,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
2022-06-05,38,너의 모든 순간,성시경
2022-06-05,39,Butter,방탄소년단
2022-06-05,40,Beatbox,NCT DREAM
2022-06-05,41,이제 나만 믿어요,임영웅
2022-06-05,42,strawberry moon,아이유
2022-06-05,43,내 손을 잡아,아이유
2022-06-05,44,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)"
2022-06-05,45,"스물다섯, 스물하나",자우림
2022-06-05,46,RUN2U,STAYC(스테이씨)
2022-06-05,47,호랑수월가,탑현
2022-06-05,48,Permission to Dance,방탄소년단
