Date,Rank,Title,Artist
2020-01-04,12,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA"
2020-01-04,13,나의 오랜 연인에게,다비치
2020-01-04,14,조금 취했어 (Prod. 2soo),임재현
2020-01-04,15,헤어진 우리가 지켜야 할 것들,"양다일, 김나영"
2020-01-04,16,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
2020-01-04,17,사랑이란 멜로는 없어,전상근
2020-01-04,18,안녕,폴킴
2020-01-04,19,빌었어,창모 (CHANGMO)
2020-01-04,20,십이월 이십오일의 고백,정승환
2020-01-04,21,이 번호로 전화해줘,바이브
2020-01-04,22,새 사랑,송하예
2020-01-04,23,있어줘요,장덕철
2020-01-04,24,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
2020-01-04,25,"인기 (Feat. 송가인, 챈슬러)",MC몽
2020-01-04,26,2002,Anne-Marie
2020-01-04,27,시든 꽃에 물을 주듯,HYNN (박혜원)
2020-01-04,28,포장마차,황인욱
2020-01-04,29,이별주,황인욱
2020-01-04,30,니 소식,송하예
2020-01-04,31,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2020-01-04,32,다시 만날까 봐,V.O.S
2020-01-04,33,BAND,"창모 (CHANGMO), Hash Swan, 김효은, ASH ISLAND"
2020-01-04,34,첫 겨울이니까,"성시경, 아이유"
2020-01-04,35,"Show Yourself (From ""Frozen 2""/Soundtrack Version)","Evan Rachel Wood, Idina Menzel"
2020-01-04,36,사랑에 연습이 있었다면 (Prod. 2soo),임재현
2020-01-04,37,불티 (Spark),태연 (TAEYEON)
2020-01-04,38,기억해줘요 내 모든 날과 그때를,거미
2020-01-04,39,Obsession,EXO
2020-01-04,40,시간의 바깥,아이유
2020-01-04,41,bad guy,Billie Eilish
2020-01-04,42,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz)
2020-01-04,43,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원)
2020-01-04,44,워커홀릭,볼빨간사춘기
2020-01-04,45,너를 만나,폴킴
2020-01-04,46,Señorita,"Shawn Mendes, Camila Cabello"
2020-01-04,47,술이 문제야,"장혜진, 윤민수(바이브)"
2020-01-04,48,그대라는 시,태연 (TAEYEON)
2020-01-04,49,가을밤 떠난 너,케이시 (Kassy)
2020-01-04,50,숨겨진 세상 (Into the Unknown End Credit Version) (겨울왕국2),태연 (TAEYEON)
2020-01-04,51,잘 살고 있다,V.O.S
2020-01-04,52,Santa Tell Me,Ariana Grande
2020-01-04,53,Feel Special,TWICE (트와이스)
