Date,Rank,Title,Artist,Score
2018-10-31,59,주지마,"로꼬, 화사 (Hwa Sa)",5
2018-10-31,60,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,5
2018-10-31,61,넋두리,닐로(Nilo),4
2018-10-31,62,You,멜로망스,4
2018-10-31,63,그리워하다,비투비,4
2018-10-31,64,HandClap,Fitz & The Tantrums,4
2018-10-31,65,한(一),(여자)아이들,4
2018-10-31,66,매트리스,10CM,4
2018-10-31,67,My Way,이수 (엠씨더맥스),4
2018-10-31,68,좋은 날,멜로망스,4
2018-10-31,69,119 (Feat. GRAY),"수퍼비 (SUPERBEE), 나플라 (nafla), 키드밀리 (Kid Milli), pH-1, 루피 (Loopy), OLNL (오르내림)",4
2018-10-31,70,Answer : Love Myself,방탄소년단,4
2018-10-31,71,너에게,김민석 (멜로망스),3
2018-10-31,72,잘 지내요,정승환,3
2018-10-31,73,나,박원,3
2018-10-31,74,죽겠다 (KILLING ME),iKON,3
2018-10-31,75,Shape of You,Ed Sheeran,3
2018-10-31,76,YOUNG,"백현 (BAEKHYUN), 로꼬",3
2018-10-31,77,이별의 온도,린,3
2018-10-31,78,물어 (Prod. 기리보이),나플라 (nafla),3
2018-10-31,79,Havana (Feat. Young Thug),Camila Cabello,3
2018-10-31,80,Universe,EXO,3
2018-10-31,81,Epiphany,방탄소년단,2
2018-10-31,82,도망가지마,모트 (Motte),2
2018-10-31,83,Anpanman,방탄소년단,2
2018-10-31,84,Not A Love,바이브,2
2018-10-31,85,Make Up (Feat. Crush),샘김 (Sam Kim),2
2018-10-31,86,GOD GOD GOD,EK,2
2018-10-31,87,Trivia 轉 : Seesaw,방탄소년단,2
2018-10-31,88,에너제틱 (Energetic),Wanna One (워너원),2
2018-10-31,89,소나기 (Feat. 10cm),용준형,2
2018-10-31,90,넌 (none),Crush,2
2018-10-31,91,Waste It On Me (feat. BTS (방탄소년단)),Steve Aoki,1
2018-10-31,92,밤 (Time for the moon night),여자친구 (GFRIEND),1
2018-10-31,93,Chandelier,Sia,1
2018-10-31,94,별이 빛나는 밤,마마무 (Mamamoo),1
2018-10-31,95,Perfect,10CM,1
2018-10-31,96,Trivia 起 : Just Dance,방탄소년단,1
2018-10-31,97,Beautiful,Wanna One (워너원),1
2018-10-31,98,Airplane pt.2,방탄소년단,1
2018-10-31,99,Miss You,에릭남 (Eric Nam),1
2018-10-31,100,"브레이킹배드 (Feat. 기리보이) (Prod. Cosmic Boy, 기리보이)",OLNL (오르내림),1
2018-11-01,1,너를 만나,폴킴,10
2018-11-01,2,삐삐,아이유,10
2018-11-01,3,가을 타나 봐,바이브,10
2018-11-01,4,고백,양다일,10
2018-11-01,5,하루도 그대를 사랑하지 않은 적이 없었다,임창정,10
2018-11-01,6,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"키드밀리 (Kid Milli), pH-1, 루피 (Loopy)",10
2018-11-01,7,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,10
2018-11-01,8,시간이 들겠지 (Feat. Colde),로꼬,10
2018-11-01,9,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,10
2018-11-01,10,Way Back Home,숀 (SHAUN),10
2018-11-01,11,내 생에 아름다운,케이윌,9
2018-11-01,12,우리 그만하자,로이킴,9
2018-11-01,13,Save (Feat. 팔로알토)(Prod. 코드 쿤스트),루피 (Loopy),9
2018-11-01,14,헤어지는 중,펀치 (Punch),9
2018-11-01,15,열애중,벤,9
2018-11-01,16,이별길 (GOODBYE ROAD),iKON,9
2018-11-01,17,사이렌 (Siren),선미,9
2018-11-01,18,IDOL,방탄소년단,9
2018-11-01,19,IndiGO,"저스디스 (JUSTHIS), 키드밀리 (Kid Milli), 양홍원, NO:EL",9
2018-11-01,20,사임사임 (Feat. CHANGMO),"수퍼비 (SUPERBEE), 쿠기 (Coogie), D.Ark (디아크)",9
2018-11-01,21,flex (Prod. By 기리보이),"스윙스, 기리보이, 키드밀리 (Kid Milli), NO:EL",8
2018-11-01,22,이별하러 가는 길,임한별,8
2018-11-01,23,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,8
2018-11-01,24,미안해,양다일,8
2018-11-01,25,꿈처럼 내린,다비치,8
2018-11-01,26,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),8
2018-11-01,27,지나오다,닐로(Nilo),8
2018-11-01,28,Dance The Night Away,TWICE (트와이스),8
2018-11-01,29,FAKE LOVE,방탄소년단,8
2018-11-01,30,잘 지내줘,하이라이트 (Highlight),8
2018-11-01,31,비,폴킴,7
2018-11-01,32,밤편지,아이유,7
2018-11-01,33,I'm Fine,방탄소년단,7
2018-11-01,34,가을 안부,먼데이 키즈 (Monday Kiz),7
2018-11-01,35,여행,볼빨간사춘기,7
2018-11-01,36,Power Up,Red Velvet (레드벨벳),7
2018-11-01,37,벚꽃연가,첸 (CHEN),7
2018-11-01,38,Change (Feat. GRAY) (Prod. 코드 쿤스트),키드밀리 (Kid Milli),7
2018-11-01,39,그때 헤어지면 돼,로이킴,7
2018-11-01,40,동화,멜로망스,7
2018-11-01,41,너나 해 (Egotistic),마마무 (Mamamoo),6
2018-11-01,42,억 (Feat. CHANGMO) (Prod. CHANGMO),수퍼비 (SUPERBEE),6
2018-11-01,43,봄날,방탄소년단,6
2018-11-01,44,Hate You (Feat. 우원재) (Prod. 코드 쿤스트),pH-1,6
2018-11-01,45,사랑을 했다 (LOVE SCENARIO),iKON,6
2018-11-01,46,그날처럼,장덕철,6
2018-11-01,47,"셋 셀테니 (1, 2, 3!)",승리,6
2018-11-01,48,우리 이렇게 헤어지기로 해,정준일,6
2018-11-01,49,Forever Young,BLACKPINK,6
